country_code,name,year,age_group,sex,mean_skills,oecd_standard,saf
484,Mexico,1980,20--39,Female,218.83280437280257,269.7014710297242,0.8113889907136794
484,Mexico,1985,20--39,Female,221.81634760077412,269.7014710297242,0.8224513820924892
484,Mexico,1990,20--39,Female,225.2295961554076,269.7014710297242,0.8351070362926746
484,Mexico,1995,20--39,Female,229.41386021734775,269.7014710297242,0.8506214643229132
484,Mexico,2000,20--39,Female,230.09311949633735,269.7014710297242,0.8531400241082795
484,Mexico,2005,20--39,Female,231.5098906786055,269.7014710297242,0.8583931329506559
484,Mexico,2010,20--39,Female,231.05331357186765,269.7014710297242,0.8567002348548663
484,Mexico,2015,20--39,Female,229.17946043237797,269.7014710297242,0.8497523560304191
484,Mexico,2020,20--39,Female,228.40858382993497,269.7014710297242,0.8468940972322755
484,Mexico,2025,20--39,Female,228.66217891284265,269.7014710297242,0.8478343779135022
484,Mexico,1970,20--39,Male,211.63386452023568,269.7014710297242,0.7846967378865768
484,Mexico,1975,20--39,Male,213.2811323580921,269.7014710297242,0.7908044829855083
484,Mexico,1980,20--39,Male,219.00936237216757,269.7014710297242,0.8120436330435522
484,Mexico,1985,20--39,Male,222.8433550789217,269.7014710297242,0.8262593237927197
484,Mexico,1990,20--39,Male,225.3895379531949,269.7014710297242,0.8357000690157689
484,Mexico,1995,20--39,Male,227.64631338065016,269.7014710297242,0.8440677483570749
484,Mexico,2000,20--39,Male,228.41888289641363,269.7014710297242,0.8469322841447878
484,Mexico,2005,20--39,Male,227.19993834765623,269.7014710297242,0.8424126775438173
484,Mexico,2010,20--39,Male,228.49888436520587,269.7014710297242,0.8472289138535054
484,Mexico,2015,20--39,Male,229.40163878607933,269.7014710297242,0.8505761496599202
484,Mexico,2020,20--39,Male,230.00756914459856,269.7014710297242,0.8528228202331499
484,Mexico,2025,20--39,Male,232.55625093449217,269.7014710297242,0.862272830943743
484,Mexico,1970,20--64,Both,203.78812808345344,262.58093963833664,0.7760964233128995
484,Mexico,1975,20--64,Both,205.17629070760034,262.58093963833664,0.7813830318003963
484,Mexico,1980,20--64,Both,208.901399577608,262.58093963833664,0.7955695484422303
484,Mexico,1985,20--64,Both,211.71627514956683,262.58093963833664,0.8062895785245198
484,Mexico,1990,20--64,Both,214.34902289658146,262.58093963833664,0.8163160021889366
484,Mexico,1995,20--64,Both,217.07083480346301,262.58093963833664,0.826681613305381
484,Mexico,2000,20--64,Both,218.7974363332428,262.58093963833664,0.8332571154425807
484,Mexico,2005,20--64,Both,219.6033751283912,262.58093963833664,0.8363264120802516
484,Mexico,2010,20--64,Both,220.45280465830908,262.58093963833664,0.8395613366375627
484,Mexico,2015,20--64,Both,220.8655693935248,262.58093963833664,0.8411332890259738
484,Mexico,2020,20--64,Both,221.41243719042996,262.58093963833664,0.843215952747333
484,Mexico,2025,20--64,Both,222.16719772803688,262.58093963833664,0.8460903446915711
484,Mexico,1970,20--64,Female,203.6393150876414,262.58093963833664,0.7755296914091406
484,Mexico,1975,20--64,Female,204.98281715192257,262.58093963833664,0.780646216874133
